Hole,Par,LengthYellow,LengthRed
1,5,490,466
2,3,110,87
3,4,317,266
4,3,165,134
5,5,434,393
6,5,481,438
7,4,279,244
8,3,122,92
9,4,275,257
10,4,325,268
11,4,272,227
12,5,427,371
13,3,110,74
14,4,281,263
15,4,281,250
16,3,160,131
17,5,390,366
18,4,292,252
